label	Prevalence	TotalAbundance	min_rel_ab	max_rel_ab	domain	phylum	class	order	family	genus	species	relAbundance	pass_filters	relprev
Mannheimia	3	35	0	0.0020295058933728826	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Mannheimia	NA	5.031898643184473e-6	F	0.05172413793103448
p-1088-a5 gut group	3	35	0	0.0017172742174693624	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	p-1088-a5 gut group	NA	5.031898643184473e-6	F	0.05172413793103448
Pelomonas	3	35	0	2.7032647119983364e-4	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Pelomonas	NA	5.031898643184473e-6	F	0.05172413793103448
Azoarcus	3	34	0	0.001483100460541722	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azoarcus	NA	4.8881301105220594e-6	F	0.05172413793103448
Gemella	3	29	0	8.189337482597658e-4	Bacteria	Firmicutes	Bacilli	Staphylococcales	Gemellaceae	Gemella	NA	4.169287447209992e-6	F	0.05172413793103448
Treponema	3	29	0	0.0010147529466864413	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	NA	4.169287447209992e-6	F	0.05172413793103448
Coxiella	3	26	0	6.795964242772753e-4	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA	3.737981849222751e-6	F	0.05172413793103448
Desulfovibrio	3	23	0	8.586371087346812e-4	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	NA	3.3066762512355107e-6	F	0.05172413793103448
Marinilactibacillus	3	19	0	5.464054328311607e-4	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Marinilactibacillus	NA	2.7316021205858566e-6	F	0.05172413793103448
Rikenellaceae RC9 gut group	3	19	0	3.1223167590352044e-4	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	NA	2.7316021205858566e-6	F	0.05172413793103448
Ralstonia	3	17	0	3.136598881279732e-4	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	NA	2.4440650552610297e-6	F	0.05172413793103448
Empedobacter	3	16	0	1.7238407171177384e-4	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Empedobacter	NA	2.300296522598616e-6	F	0.05172413793103448
Salinimicrobium	3	11	0	2.0910659208531548e-4	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Salinimicrobium	NA	1.5814538592865487e-6	F	0.05172413793103448
Taibaiella	2	172	0	6.2668064354405e-4	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Taibaiella	NA	2.4728187617935125e-5	F	0.034482758620689655
Aerosphaera	2	148	0	0.005698228085239248	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerosphaera	NA	2.12777428340372e-5	F	0.034482758620689655
Trichococcus	2	84	0	0.0018469721969118626	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Trichococcus	NA	1.2076556743642735e-5	F	0.034482758620689655
Turicibacter	2	66	0	0.002263679650300523	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	NA	9.488723155719292e-6	F	0.034482758620689655
Idiomarina	2	54	0	0.0033564905159628442	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Idiomarina	NA	7.76350076377033e-6	F	0.034482758620689655
Weissella	2	50	0	8.598804356727541e-4	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	NA	7.188426633120676e-6	F	0.034482758620689655
Aquabacterium	2	46	0	0.0026539692451799236	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Aquabacterium	NA	6.613352502471021e-6	F	0.034482758620689655
Alloprevotella	2	40	0	0.0019514479743970026	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	NA	5.7507413064965404e-06	F	0.034482758620689655
Aestuariicella	2	32	0	0.0014050425415658419	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Aestuariicella	NA	4.600593045197232e-6	F	0.034482758620689655
Pediococcus	2	24	0	1.6593379241682568e-4	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	NA	3.4504447838979243e-6	F	0.034482758620689655
Pseudorhodoferax	2	24	0	6.960936860208009e-4	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Pseudorhodoferax	NA	3.4504447838979243e-6	F	0.034482758620689655
Ornithinibacillus	2	22	0	9.366950277105613e-4	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Ornithinibacillus	NA	3.1629077185730975e-6	F	0.034482758620689655
Neisseria	2	21	0	5.732536237818361e-4	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	NA	3.019139185910684e-6	F	0.034482758620689655
Ottowia	2	21	0	3.136598881279732e-4	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Ottowia	NA	3.019139185910684e-6	F	0.034482758620689655
Cellvibrio	2	19	0	0.0011708687846382015	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	NA	2.7316021205858566e-6	F	0.034482758620689655
Haemophilus	2	17	0	4.913602489558594e-4	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	NA	2.4440650552610297e-6	F	0.034482758620689655
Alcanivorax	2	16	0	1.3347570742124932e-4	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae1	Alcanivorax	NA	2.300296522598616e-6	F	0.034482758620689655
GKS98 freshwater group	2	16	0	4.683475138552806e-4	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	GKS98 freshwater group	NA	2.300296522598616e-6	F	0.034482758620689655
Variovorax	2	16	0	4.1821318417063096e-4	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	NA	2.300296522598616e-6	F	0.034482758620689655
Providencia	2	15	0	1.456098626413629e-4	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Providencia	NA	2.156527989936203e-6	F	0.034482758620689655
Acholeplasma	2	14	0	4.7048983219195986e-4	Bacteria	Firmicutes	Bacilli	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	NA	2.0127594572737892e-6	F	0.034482758620689655
Alysiella	2	14	0	4.094668741298829e-4	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Alysiella	NA	2.0127594572737892e-6	F	0.034482758620689655
CPla-4 termite group	2	14	0	4.5041356154287116e-4	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	CPla-4 termite group	NA	2.0127594572737892e-6	F	0.034482758620689655
Bergeyella	2	13	0	3.2757349930390633e-4	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Bergeyella	NA	1.8689909246113756e-6	F	0.034482758620689655
Methylophaga	2	13	0	1.6378674965195316e-4	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Methylophagaceae	Methylophaga	NA	1.8689909246113756e-6	F	0.034482758620689655
[Anaerorhabdus] furcosa group	2	11	0	5.464054328311607e-4	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	[Anaerorhabdus] furcosa group	NA	1.5814538592865487e-6	F	0.034482758620689655
Anaerovibrio	2	10	0	3.902895948794005e-4	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Anaerovibrio	NA	1.4376853266241351e-06	F	0.034482758620689655
Brumimicrobium	2	9	0	2.456801244779297e-4	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Brumimicrobium	NA	1.2939167939617217e-6	F	0.034482758620689655
Rheinheimera	2	9	0	5.731268984828512e-5	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Rheinheimera	NA	1.2939167939617217e-6	F	0.034482758620689655
Tepidimonas	2	9	0	7.914679752270524e-5	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Tepidimonas	NA	1.2939167939617217e-6	F	0.034482758620689655
Acinetobacter	2	8	0	6.542667539022338e-5	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	NA	1.150148261299308e-6	F	0.034482758620689655
Porphyromonas	2	8	0	3.530969545387671e-5	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	NA	1.150148261299308e-6	F	0.034482758620689655
Megasphaera	1	82	0	0.004286685137748968	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Megasphaera	NA	1.1789019678317908e-5	F	0.017241379310344827
Snodgrassella	1	51	0	3.0013241135795203e-4	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Snodgrassella	NA	7.33219516578309e-6	F	0.017241379310344827
Fluviicola	1	35	0	1.3293225772146515e-4	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	NA	5.031898643184473e-6	F	0.017241379310344827
Marinospirillum	1	33	0	0.0025759113262040436	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Marinospirillum	NA	4.744361577859646e-6	F	0.017241379310344827
Loigolactobacillus	1	25	0	0.0013069162005332217	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Loigolactobacillus	NA	3.594213316560338e-6	F	0.017241379310344827
Herbaspirillum	1	20	0	2.4268310440227152e-4	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum	NA	2.8753706532482702e-06	F	0.017241379310344827
Hydrogenophaga	1	20	0	0.0010455329604265775	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	NA	2.8753706532482702e-06	F	0.017241379310344827
Legionella	1	19	0	9.932563124052487e-4	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	NA	2.7316021205858566e-6	F	0.017241379310344827
Savagea	1	19	0	0.001483100460541722	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Savagea	NA	2.7316021205858566e-6	F	0.017241379310344827
Candidatus Vestibaculum	1	18	0	2.1841479396204436e-4	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Candidatus Vestibaculum	NA	2.5878335879234434e-6	F	0.017241379310344827
Prevotellaceae UCG-004	1	18	0	0.0014050425415658419	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-004	NA	2.5878335879234434e-6	F	0.017241379310344827
Parapusillimonas	1	16	0	0.0012489267036140817	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Parapusillimonas	NA	2.300296522598616e-6	F	0.017241379310344827
Arcticibacter	1	15	0	1.2281290681775384e-4	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Arcticibacter	NA	2.156527989936203e-6	F	0.017241379310344827
Verrucomicrobium	1	15	0	7.841497203199331e-4	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Verrucomicrobium	NA	2.156527989936203e-6	F	0.017241379310344827
Moellerella	1	13	0	7.65043401500662e-5	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Moellerella	NA	1.8689909246113756e-6	F	0.017241379310344827
Shewanella	1	13	0	7.240685971449419e-5	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	NA	1.8689909246113756e-6	F	0.017241379310344827
Succiniclasticum	1	12	0	1.456098626413629e-4	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Succiniclasticum	NA	1.7252223919489622e-6	F	0.017241379310344827
Cloacibacterium	1	11	0	5.750431282346176e-4	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Cloacibacterium	NA	1.5814538592865487e-6	F	0.017241379310344827
